,Participant,Brand,Brand_First_Char,ResponseCode,Participant_Stimuli,Hbo_Op1,Hbo_Op2,Hbo_Op3,Hbo_Op4,Hbo_Op5,Hbo_Op6,Hbo_Op7,Hbo_Op8,Hbo_Op9,Hbo_Op10,Hbo_Op11,Hbo_Op12,Hbo_Op13,Hbo_Op14,Hbo_Op15,Hbo_Op16,Hbr_Op1,Hbr_Op2,Hbr_Op3,Hbr_Op4,Hbr_Op5,Hbr_Op6,Hbr_Op7,Hbr_Op8,Hbr_Op9,Hbr_Op10,Hbr_Op11,Hbr_Op12,Hbr_Op13,Hbr_Op14,Hbr_Op15,Hbr_Op16,Hbt_Op1,Hbt_Op2,Hbt_Op3,Hbt_Op4,Hbt_Op5,Hbt_Op6,Hbt_Op7,Hbt_Op8,Hbt_Op9,Hbt_Op10,Hbt_Op11,Hbt_Op12,Hbt_Op13,Hbt_Op14,Hbt_Op15,Hbt_Op16,Oxy_Op1,Oxy_Op2,Oxy_Op3,Oxy_Op4,Oxy_Op5,Oxy_Op6,Oxy_Op7,Oxy_Op8,Oxy_Op9,Oxy_Op10,Oxy_Op11,Oxy_Op12,Oxy_Op13,Oxy_Op14,Oxy_Op15,Oxy_Op16
60324,161,P09,P,1,161_9,-0.178146717,-0.284380431,-0.049301252,-0.036145909,0.189739698,0.129121731,0.122598329,0.084486372,0.120260469,-0.023951257,0.066368038,0.168196577,0.289068691,0.311189977,0.14779946,0.210294041,0.146522585,0.036600186,0.218890983,0.149535764,0.048229864,-0.002468507,-0.001419606,0.072570008,0.080743628,0.210729376,0.107481051,0.066581792,-0.192319796,-0.162196559,-0.137555865,-0.18884076,-0.031624132,-0.247780245,0.169589731,0.113389855,0.237969562,0.126653224,0.121178723,0.15705638,0.201004096,0.186778119,0.173849089,0.234778369,0.096748895,0.148993417,0.010243596,0.021453281,-0.324669302,-0.320980617,-0.268192234,-0.185681672,0.141509835,0.131590238,0.124017935,0.011916363,0.039516841,-0.234680633,-0.041113014,0.101614785,0.481388486,0.473386536,0.285355325,0.399134801
60340,162,P05,P,1,162_5,-0.19176775,-0.244951872,-0.234971531,-0.388530554,-0.328257076,-0.345599578,-0.320174282,-0.50964111,-0.159943297,0.032040661,-0.302609189,-0.213962403,-0.444829466,-0.472120777,-0.283459711,-0.424332416,-0.074449088,-0.004587042,-0.190297389,-0.107587662,0.14392648,0.068788857,0.400172213,0.256898235,0.176320529,-0.025956815,0.075622192,0.091059593,0.125414922,0.15571597,0.061330633,0.140512065,-0.266216838,-0.249538914,-0.42526892,-0.496118216,-0.184330596,-0.276810721,0.079997932,-0.252742876,0.016377232,0.006135903,-0.226986997,-0.12290281,-0.319414544,-0.316404807,-0.222129078,-0.283820351,-0.117318662,-0.24036483,-0.044674142,-0.280942892,-0.472183555,-0.414388436,-0.720346495,-0.766539345,-0.336263826,0.058011857,-0.378231381,-0.305021997,-0.570244388,-0.627836746,-0.344790344,-0.564844481
60356,162,R04,R,1,162_24,0.322052511,0.231057664,0.272951504,0.295299572,0.011863352,0.133186541,0.108055735,0.110456603,-0.22716058,0.032250613,-0.290935154,-0.061134958,0.092376562,0.104950614,0.171321021,0.168048944,-0.206668162,-0.171516263,-0.172842758,-0.266966515,-0.023165577,-0.263182642,-0.020181698,-0.348273974,0.359988405,-0.025843234,0.202892764,-0.002114855,-0.267038649,-0.225703232,-0.199699798,-0.242789325,0.11538435,0.059541402,0.100108745,0.028333057,-0.011302225,-0.129996102,0.087874037,-0.237817371,0.132827825,0.005875264,-0.088042391,-0.063249814,-0.174662086,-0.120752618,-0.028378778,-0.074740381,0.528720673,0.402573927,0.445794262,0.562266088,0.035028929,0.396369183,0.128237433,0.458730577,-0.587148985,0.058196878,-0.493827918,-0.059020103,0.359415211,0.330653846,0.371020819,0.410838269
60372,162,N05,N,1,162_15,0.044741869,0.293201369,-0.130226949,0.196309729,-0.108889675,0.18893922,0.068650002,0.571397871,-0.185723495,0.032564566,-0.277018974,0.084020492,-0.3062208,-0.245141471,-0.050040758,0.054884907,-0.081802399,-8.16E-05,-0.046780432,-0.179056059,0.050204097,-0.118905617,-0.238910282,-0.267531282,-0.123075578,-0.02590862,0.070738906,-0.154095184,0.148130582,0.151906452,0.105034591,0.210353595,-0.037060531,0.293119817,-0.177007381,0.017253669,-0.058685578,0.070033603,-0.170260279,0.303866589,-0.308799073,0.006825239,-0.206280069,-0.070074692,-0.158090218,-0.093235019,0.054993833,0.265238502,0.126544268,0.293282921,-0.083446516,0.375365788,-0.159093773,0.307844837,0.307560284,0.838929154,-0.062647917,0.058530935,-0.34775788,0.238115675,-0.454351382,-0.397047922,-0.155075349,-0.155468689
60388,162,P02,P,1,162_2,-0.059411884,-0.368296478,0.020699896,-0.058344243,0.356208143,0.249468893,0.58581672,0.444150896,0.286286576,0.032457853,0.221376123,-0.001816778,0.345771901,0.190235776,0.214244682,0.084717673,0.062536902,-0.004186378,0.101610284,-0.01316071,-0.128985862,-0.129618209,-0.163216289,-0.260614201,-0.097642322,-0.02594313,-0.183164797,-0.064187292,-0.194337765,-0.179222316,-0.117122615,-0.184281318,0.003125019,-0.372482856,0.12231018,-0.071504953,0.227222281,0.119850684,0.422600431,0.183536695,0.188644253,0.006754,0.038211326,-0.06600407,0.151434136,0.011013461,0.097122067,-0.099563645,-0.121948786,-0.3641101,-0.080910388,-0.045183533,0.485194004,0.379087102,0.749033009,0.704765097,0.383928898,0.058494634,0.40454092,0.062370515,0.540109666,0.369458092,0.331367297,0.26899899
60404,162,P07,P,1,162_7,-0.175079756,-0.340366236,0.056446437,-0.418605951,0.508323527,0.318170873,0.414877119,0.149261747,0.26724934,0.032289355,0.44251618,0.041940753,0.327552898,-0.064599788,-0.212673468,-0.269563636,-0.107300776,-0.16965759,-0.217454231,-0.101075811,0.019471324,-0.025077463,-0.083105868,-0.033586629,0.020739794,-0.025860575,0.12896185,0.254425896,-0.05622214,-0.096953104,-0.163260623,-0.289816619,-0.282380532,-0.510023826,-0.161007794,-0.519681762,0.527794852,0.293093409,0.33177125,0.115675118,0.287961082,0.00724597,0.57151189,0.296366649,0.271330759,-0.161552892,-0.375934092,-0.559380256,-0.067778981,-0.170708645,0.273900668,-0.31753014,0.488852203,0.343248336,0.497982987,0.182848376,0.246622676,0.05806552,0.313570333,-0.212485143,0.383775038,0.032353317,-0.049412845,0.020252983
60420,162,P08,P,1,162_8,0.047040028,0.048857048,0.023441511,0.018250436,0.261878846,0.329800325,0.407984482,0.627696488,-0.052194877,0.032568105,-0.048916238,0.010575953,-0.171660506,-0.182635067,-0.148083424,-0.199076866,-0.063228813,-0.047109489,-0.031382005,-0.066211527,-0.077604742,-0.105020576,-0.244396336,-0.385156219,0.195225283,-0.025731091,0.133647652,0.135044439,0.193449155,0.231041275,0.1954723,0.005202818,-0.016188785,0.001747558,-0.007940494,-0.047961091,0.184274103,0.224779749,0.163588147,0.242540269,0.143030406,0.006770185,0.084731414,0.145620392,0.02178865,0.048406208,0.047388876,-0.193874048,0.110268841,0.095966537,0.054823516,0.084461964,0.339483588,0.434820901,0.652380818,1.012852706,-0.24742016,0.058223364,-0.18256389,-0.124468486,-0.365109661,-0.413676343,-0.343555723,-0.204279683
60436,162,P01,P,1,162_1,-0.302572173,-0.249339883,-0.367599982,-0.35052564,-0.701828748,-0.703180718,-0.976012542,-0.951807625,-0.232225788,0.031995621,-0.427457586,-0.293438682,-0.325120579,-0.020244853,-0.04150408,-0.156828842,-0.033457947,0.025380236,0.048011675,0.042793338,0.224754901,0.201251801,0.415179223,0.382212297,-0.05213033,-0.026109561,-0.260969409,-0.013134992,-0.233458015,-0.100412047,0.012508375,-0.192446588,-0.33603012,-0.223959648,-0.319588307,-0.307732301,-0.477073847,-0.501928917,-0.560833318,-0.569595327,-0.284356118,0.005556629,-0.688426994,-0.306573674,-0.558578594,-0.1206569,-0.028995705,-0.349275429,-0.269114226,-0.274720119,-0.415611658,-0.393318978,-0.926583649,-0.904432519,-1.391191765,-1.334019922,-0.180095459,0.058202648,-0.166488177,-0.28030369,-0.091662564,0.080167194,-0.054012455,0.035617746
60452,162,P10,P,1,162_10,0.148710187,0.017094488,0.51569851,0.20309134,0.301595063,0.252372528,0.30438194,0.093498495,0.305276988,0.032626301,0.407669534,0.039527039,0.21169079,-0.082440718,-0.059471188,-0.136128379,0.142029111,-0.117028564,0.147238451,0.10365736,-0.005789021,0.019064082,0.170424196,0.10383924,0.020635359,-0.025791846,0.037534757,-0.082638883,0.097954072,0.002455014,0.030168173,0.025012668,0.290739298,-0.099934075,0.66293696,0.3067487,0.295806042,0.27143661,0.474806136,0.197337736,0.325912347,0.006739669,0.445204291,-0.043111844,0.309644862,-0.079985704,-0.029303014,-0.111115711,0.006681076,0.134123052,0.368460059,0.09943398,0.307384084,0.233308447,0.133957744,-0.010340745,0.284641629,0.058324744,0.370134777,0.122165922,0.113736718,-0.084895733,-0.089639361,-0.161141048
60468,162,N04,N,1,162_14,0.255408657,0.326526483,0.313447289,0.553118456,0.096927479,0.10143526,0.009270999,-0.033355651,0.180164073,0.032681985,0.135540034,0.160839309,0.480357538,0.326351638,0.277241712,0.335477255,0.063110931,0.078109176,0.104925032,0.104338706,-0.066944204,0.04082697,0.057483386,0.092495412,0.103421828,-0.025679075,0.218811066,0.108095511,0.280947738,0.240902499,0.122519891,0.144182236,0.318519588,0.404635659,0.418372321,0.657457163,0.029983275,0.142262229,0.066754384,0.059139761,0.283585901,0.006787861,0.3543511,0.26893482,0.761305276,0.567254137,0.399761603,0.479659491,0.192297726,0.248417307,0.208522256,0.44877975,0.163871683,0.06060829,-0.048212387,-0.125851064,0.076742244,0.058175384,-0.083271033,0.052743798,0.1994098,0.085449138,0.15472182,0.191295019
