,Participant,Brand,Brand_First_Char,ResponseCode,Participant_Stimuli,Hbo_Op1,Hbo_Op2,Hbo_Op3,Hbo_Op4,Hbo_Op5,Hbo_Op6,Hbo_Op7,Hbo_Op8,Hbo_Op9,Hbo_Op10,Hbo_Op11,Hbo_Op12,Hbo_Op13,Hbo_Op14,Hbo_Op15,Hbo_Op16,Hbr_Op1,Hbr_Op2,Hbr_Op3,Hbr_Op4,Hbr_Op5,Hbr_Op6,Hbr_Op7,Hbr_Op8,Hbr_Op9,Hbr_Op10,Hbr_Op11,Hbr_Op12,Hbr_Op13,Hbr_Op14,Hbr_Op15,Hbr_Op16,Hbt_Op1,Hbt_Op2,Hbt_Op3,Hbt_Op4,Hbt_Op5,Hbt_Op6,Hbt_Op7,Hbt_Op8,Hbt_Op9,Hbt_Op10,Hbt_Op11,Hbt_Op12,Hbt_Op13,Hbt_Op14,Hbt_Op15,Hbt_Op16,Oxy_Op1,Oxy_Op2,Oxy_Op3,Oxy_Op4,Oxy_Op5,Oxy_Op6,Oxy_Op7,Oxy_Op8,Oxy_Op9,Oxy_Op10,Oxy_Op11,Oxy_Op12,Oxy_Op13,Oxy_Op14,Oxy_Op15,Oxy_Op16
0,3,N05,N,0,3_15,-0.262598018,-0.619926953,-0.248286034,-0.006671119,-0.017982981,-0.173565052,-0.04362224,-0.091076337,0.105359163,0.035528255,0.090229395,-0.072135026,-0.020178967,-0.006249005,0.005354732,-0.502158847,-0.036314677,-0.156911395,-0.055544393,-0.013735118,-0.022681962,-0.073754133,-0.117035432,-0.186348838,0.058815324,-0.019808714,-0.012379769,-0.035806826,0.015547361,-0.014798657,0.005811391,-0.011354385,-0.298912695,-0.776838349,-0.303830427,-0.020457599,-0.040664943,-0.247319185,-0.160657672,-0.277425175,0.164174488,0.015360568,0.077875381,-0.107955842,-0.004330743,-0.021130341,0.01132035,-0.513513232,-0.226283341,-0.463015558,-0.192741641,0.007128607,0.004698981,-0.099810918,0.073413192,0.095272501,0.046543839,0.05512222,0.102596137,-0.03630911,-0.035766445,0.00865675,-0.000562577,-0.490804462
16,3,N06,N,0,3_16,-0.395267024,0.001335398,-0.578758327,-0.006754662,-0.500374886,-0.545891619,-0.413575194,-0.285942254,-0.250313647,-0.310759367,-0.421307934,-0.491682256,-0.617227048,-0.378191523,-0.374472879,0.195486861,-0.056486566,-0.013986403,0.156221194,-0.013731458,0.173142757,-0.091138333,0.080089347,-0.162575612,0.071386313,-0.02449713,0.21869384,0.013795772,0.634045542,0.228571958,0.340712322,0.467229316,-0.45175359,-0.012878807,-0.422537134,-0.020469941,-0.32723213,-0.637029952,-0.333485848,-0.448517866,-0.178927334,-0.335256497,-0.202614094,-0.477886484,0.016818494,-0.149619565,-0.033760557,0.662716177,-0.338780458,0.015382559,-0.734979521,0.007086008,-0.673517643,-0.454753286,-0.493664541,-0.123366641,-0.32169996,-0.286262237,-0.640001774,-0.505478028,-1.25127259,-0.606763481,-0.715185201,-0.271742456
32,3,N07,N,0,3_17,-0.315036485,0.000858411,-0.277995871,-0.006722991,0.000567165,-0.004691967,-0.01495134,0.022558677,-0.056653712,-0.079255063,-0.048590822,-0.059823658,-0.020209204,-0.504903834,-0.615682561,-0.560209146,-0.048572852,-0.014396008,-0.016680576,-0.013744847,-0.01921557,-0.116572835,-0.080305101,-0.197313895,-0.053803994,-0.144595223,-0.023290538,-0.048917429,0.015564159,0.044756549,-0.0657833,-0.106351719,-0.363609337,-0.012945418,-0.294676447,-0.020466384,-0.018648405,-0.121264802,-0.095256441,-0.174755218,-0.110457706,-0.223850286,-0.071883089,-0.108741087,-0.004595927,-0.460147285,-0.681465861,-0.666560865,-0.266463633,0.015393431,-0.261315295,0.00716029,0.019782735,0.111880868,0.065353762,0.219872571,-0.002849718,0.06534016,-0.025290839,-0.010906229,-0.035855311,-0.549660383,-0.54989926,-0.453857427
48,3,N08,N,0,3_18,-0.313165611,-0.153457592,-0.214678661,-0.006711806,0.115661657,0.073967929,0.142529381,0.136461351,0.170167925,0.26452457,0.254309987,0.282380647,0.020572945,-0.21591959,-0.253083487,-0.350088667,0.155617818,-0.05644462,0.05632565,-0.013736238,-0.089856379,-0.054331798,-0.156295517,-0.236371472,-0.18543756,-0.351801892,-0.272071999,-0.24502789,-0.102131978,0.049588368,-0.144252025,-0.037301627,-0.157547792,-0.209902212,-0.158353011,-0.020428603,0.025805278,0.019636131,-0.013766136,-0.099910121,-0.015269635,-0.087277322,-0.017754064,0.037352757,-0.081495988,-0.166331222,-0.397335512,-0.387390294,-0.468783429,-0.097012972,-0.271004311,0.007125079,0.205518037,0.128299727,0.298824898,0.372832823,0.355605485,0.616326462,0.526356702,0.527408536,0.122733049,-0.265507959,-0.108831461,-0.31278704
64,3,N04,N,0,3_14,0.089332995,-0.01863587,0.058640616,-0.00661341,-0.003365081,0.009435332,0.013813117,0.007991988,0.021372913,0.114443366,9.48E-05,0.168022127,0.111024191,0.023231058,0.006433366,-0.073757497,0.120818813,0.06775726,0.049776172,-0.013728008,0.015163074,-0.012111165,0.019792226,0.010786177,0.077169932,0.028579749,0.011934407,0.038005444,-0.075427972,0.086241867,0.039701924,0.083583399,0.210151807,0.049121391,0.108416787,-0.020378921,0.011592724,-0.002756263,0.033462959,0.018778165,0.098542845,0.143023115,0.011998032,0.206027571,0.035596219,0.109472925,0.046135289,0.009825902,-0.031485818,-0.08639313,0.008864444,0.007191568,-0.018335741,0.021712185,-0.005888521,-0.002794189,-0.055797019,0.085863618,-0.011879525,0.130016684,0.186452163,-0.063010809,-0.033268558,-0.157340895
80,3,N03,N,0,3_13,-0.080929549,-0.021940513,-0.079879996,-0.006585187,0.090456495,0.00965325,0.013984227,0.030238069,0.13971773,0.139717971,0.000149139,0.201705951,-0.020205839,0.041468412,0.121579066,-0.076551694,0.092299282,-0.057473296,0.051689911,-0.013815519,-0.026942932,-0.012255558,0.019618074,-0.019864446,-0.101919433,-0.13665147,0.011873221,-0.119237555,0.015657859,-0.033034701,-0.154190561,-0.060744668,0.011369733,-0.079413809,-0.028190085,-0.020413962,0.063513563,-0.002706542,0.033680602,0.01038601,0.037798297,0.003066501,0.011923309,0.082468395,-0.004595003,0.008428924,-0.032611495,-0.137296363,-0.173228832,0.035532784,-0.131569907,0.007184169,0.117399427,0.021799948,-0.005732572,0.049995295,0.241637164,0.276369442,-0.011763592,0.320943506,-0.035870757,0.074549921,0.275769627,-0.015807026
96,3,R03,R,0,3_23,-0.269909133,-0.243146248,-0.193135233,-0.006691828,-0.00544966,0.009415609,-0.00321642,0.01951995,-0.050955829,-0.100908559,-0.093406363,-0.211100512,-0.020204444,-0.006218573,0.005525417,-0.004702618,0.083957378,-0.104632514,-0.017899995,-0.013720751,-0.069466339,-0.012177869,-0.043903067,-0.139293421,-0.081614127,-0.252772035,-0.120399338,-0.191314886,0.015650869,-0.014961374,0.005961065,-0.021244437,-0.185951756,-0.347778762,-0.211035229,-0.020423049,-0.074915999,-0.002770508,-0.047119487,-0.119783514,-0.132569956,-0.353680594,-0.213805701,-0.402415398,-0.004591476,-0.021099611,0.011364006,-0.026175631,-0.353866511,-0.138513735,-0.175235238,0.007153648,0.064016678,0.021809964,0.040686648,0.15883622,0.030658298,0.151863476,0.026992976,-0.019785626,-0.0358686,0.008717973,-0.000443957,0.016688
112,4,N01,N,0,4_11,0.054176423,0.208343758,0.016266625,0.181577034,-0.067605356,-0.010488627,0.067542529,0.022777203,0.179471583,0.026674939,-0.048826645,0.13717675,-0.104198566,-0.011276066,0.021030058,0.246157162,0.174839521,-0.072501388,0.026461627,-0.119850974,0.193687812,0.139712552,0.147427128,0.084642135,0.137592507,-0.06220095,0.157226804,-0.020209488,0.206027956,0.092655403,0.202152499,0.101466162,0.229015945,0.13584237,0.042728252,0.06172606,0.126082456,0.129223925,0.214969656,0.107419338,0.31706409,-0.035526011,0.10840016,0.116967263,0.101914548,0.081377513,0.223172579,0.347623324,-0.120663098,0.280845146,-0.010195002,0.301428007,-0.261293169,-0.150201179,-0.079884599,-0.061864933,0.041879076,0.088875889,-0.206053449,0.157386238,-0.310213026,-0.103902328,-0.181116313,0.144691
128,4,N03,N,0,4_13,-0.427775319,-0.230239275,-0.022682002,-0.168629532,-0.003893145,-0.132081271,0.013738963,-0.364237779,0.01535962,-0.347103396,-0.079763871,-0.015995336,-0.02020121,-0.006259723,-0.209629611,-0.004840011,-0.179376539,-0.24538698,0.014766724,-0.386789285,0.014706695,-0.274482156,0.01894995,-0.43613067,0.015919413,-0.012396081,-0.131922853,0.32957538,0.015686229,-0.014843038,0.297201339,-0.021069008,-0.607151858,-0.475626255,-0.007545764,-0.555418817,0.011433634,-0.406563428,0.03303,-0.800368449,0.031500989,-0.359499477,-0.211686725,0.313580045,-0.004615266,-0.021177658,0.087571728,-0.026530085,-0.24839878,0.015147705,-0.037231001,0.218159753,-0.018218651,0.142400885,-0.00531768,0.071892891,-0.000632869,-0.334707315,0.052158982,-0.345570716,-0.035896791,0.008629313,-0.50683095,0.016579305
137,4,N08,N,0,4_18,-0.097365504,0.086087139,-0.118293797,0.2634012,0.015968229,0.188674148,-0.033204971,0.092779257,-0.080895326,-0.002272296,-0.103769704,0.000677412,-0.020258224,-0.006133894,0.008734581,0.277287075,0.014659858,-0.198764704,-0.088076715,-0.331495031,-0.038890518,-0.151165016,-0.016825617,-0.084923896,0.155082563,-0.033371552,0.156726972,0.085015303,0.015592828,-0.014772347,0.095636025,-0.070513288,-0.082705646,-0.112677565,-0.206370512,-0.068093831,-0.022922289,0.037509132,-0.050030588,0.007855361,0.07416533,-0.035587669,0.052935733,0.085669845,-0.004430682,-0.021002308,0.104370606,0.206773787,-0.112025361,0.284851843,-0.030217081,0.594896231,0.054858747,0.339839163,-0.016379353,0.177703153,-0.235885613,0.031100787,-0.260468895,-0.084358548,-0.035813644,0.008772355,-0.086901444,0.347800363
153,4,N06,N,0,4_16,-0.246042218,0.171599214,-0.025358884,-0.269487604,-0.403610576,-0.08073476,-0.357405545,0.027457303,0.008906051,-0.293881439,-0.002541724,0.035094513,0.083062784,-0.571991849,-0.139595435,-0.506822806,-0.320667986,-0.063650298,0.016722193,-0.475662865,-0.50382347,-0.277489502,-0.58910012,-0.017245993,0.00859319,-0.364029548,0.007981127,-0.218543221,0.144644323,-0.679837699,-0.006433958,-0.52619024,-0.566710204,0.107948916,-0.020151532,-0.72974005,-0.89840931,-0.358224262,-0.935578023,0.010806545,0.033670331,-0.657910987,0.012552796,-0.183448708,0.227707107,-1.251829548,-0.146029393,-1.034291829,0.074625769,0.235249512,-0.040545237,0.208717122,0.105348654,0.196754742,0.243812223,0.051381579,0.000815442,0.070148109,-0.011328294,0.253637734,-0.061581539,0.10784585,-0.133161476,0.013756332
169,4,N05,N,0,4_15,-0.105670783,-0.100327329,-0.221748275,0.008895261,-0.076307576,0.009640839,0.047464711,0.113152951,-0.047699301,-0.068469867,-0.148695461,0.01674309,-0.020219971,-0.006172198,0.005424346,0.170659864,0.004062615,0.091837052,0.008891349,-0.071183679,-0.033791397,-0.012363543,-0.084484042,-0.11136659,0.12234148,-0.045991272,0.121413097,0.031858145,0.015596256,-0.014808686,0.005853028,0.105221665,-0.101608167,-0.008490278,-0.212856926,-0.062288417,-0.110098973,-0.002707206,-0.037019331,0.001786361,0.074642179,-0.114461139,-0.027282364,0.048601235,-0.004426702,-0.021059796,0.011340154,0.275881528,-0.109733398,-0.192164381,-0.230639624,0.08007894,-0.04251618,0.021893547,0.131948753,0.22451954,-0.170040781,-0.022478595,-0.270108557,-0.015115056,-0.035815059,0.008712968,-0.00046569,0.065438199
185,4,R04,R,0,4_24,-0.107788796,-0.122471534,-0.098523099,-0.105439656,0.013231919,-0.010896173,0.063570049,0.026789297,0.120710348,0.082080424,0.00350378,-0.03014143,-0.066109289,-0.003012004,-0.045726618,-0.07083507,0.015168588,-0.05537742,0.008623758,-0.016223428,0.00603778,-0.006912566,-0.060016316,-0.007630447,-0.062547912,-0.022788707,-0.015963478,-0.034020097,-0.016919782,-0.055401374,-0.002122602,-0.023042937,-0.092620208,-0.177848955,-0.089899341,-0.121663084,0.019269699,-0.017808739,0.003553733,0.01915885,0.058162436,0.059291717,-0.012459698,-0.064161527,-0.083029071,-0.058413379,-0.04784922,-0.093878008,-0.122957384,-0.067094114,-0.107146857,-0.089216227,0.007194139,-0.003983607,0.123586364,0.034419745,0.18325826,0.104869131,0.019467258,0.003878667,-0.049189507,0.05238937,-0.043604017,-0.047792133
201,4,N07,N,0,4_17,0.0465496,0.145763067,-0.23185243,-0.075182272,-0.216895272,-0.101388819,-0.174000522,-0.122729569,-0.196491005,-0.070596091,-0.059758669,-0.168850791,-0.267762509,-0.270998729,-0.00893711,0.185621859,0.182459471,0.090750604,0.182639164,0.081256047,0.114250777,0.114361971,0.084563715,0.040370539,0.237466122,0.001873614,0.030158705,0.102292254,0.133749593,0.088132054,0.202571328,0.052391099,0.229009071,0.236513671,-0.049213266,0.006073774,-0.102644494,0.012973152,-0.089436806,-0.082359029,0.040975117,-0.068527655,-0.029452993,-0.066558538,-0.134012916,-0.182866675,0.193634218,0.238012958,-0.13590987,0.055012462,-0.414491594,-0.156438319,-0.331146049,-0.21575079,-0.258564237,-0.163100108,-0.433957127,-0.072380033,-0.089965899,-0.271143045,-0.401512102,-0.359130783,-0.211508438,0.133230759
217,4,N10,N,0,4_20,0.018680309,0.063848085,0.011108966,0.082376128,0.034841216,0.077410366,0.006921584,0.071383877,0.015411016,0.03535388,1.91E-05,0.011966086,-0.02017098,-0.006146232,0.005426932,0.14958143,-0.052250582,0.003628196,-0.081863823,-0.048462986,-0.038116999,0.0849694,0.022726067,0.007949219,0.016054086,-0.019850318,0.01196146,-0.0148511,0.015616072,-0.014920198,0.005889987,-0.249028994,-0.033570273,0.067476281,-0.070754857,0.033913142,-0.003275783,0.162379766,0.029647651,0.079333096,0.031457722,0.015565863,0.011912345,-0.002805814,-0.004506549,-0.02109258,0.011342829,-0.099447563,0.070930891,0.060219889,0.09297279,0.130839114,0.072958215,-0.007559034,-0.015804483,0.063434659,-0.00061872,0.055215751,-0.011905668,0.026751038,-0.035828403,0.008744688,-0.000489542,0.398610424
230,5,N01,N,0,5_11,-0.231161543,-0.39431301,-0.290203348,-0.364096182,-0.155314175,-0.221387936,-0.046793074,-0.129952097,-0.153717752,-0.242046075,-0.144492142,-0.267130375,-0.020202961,-0.006206253,0.005448521,-0.004794864,0.078539305,0.007437737,0.073823995,0.056674823,-0.011128104,-0.100325397,0.038863938,-0.11846039,0.260262942,0.125839725,0.15048123,0.058111762,0.015641941,-0.014918943,0.005924273,-0.021358251,-0.152622237,-0.386875273,-0.216379353,-0.307421359,-0.166442279,-0.321713333,-0.007929136,-0.248412487,0.10654519,-0.11620635,0.005989088,-0.209018613,-0.00451016,-0.021141214,0.011351558,-0.026067425,-0.309700848,-0.401750747,-0.364027343,-0.420771006,-0.144186071,-0.121062539,-0.085657012,-0.011491707,-0.413980694,-0.3678858,-0.294973372,-0.325242138,-0.035848686,0.008701399,-0.000497877,0.016731946
246,5,N10,N,0,5_20,-0.111664497,-0.138745237,-0.169369454,-0.114142854,-0.019952683,0.096914057,-0.000534684,0.030286525,-0.009096003,0.054330511,0.052473545,-0.006997055,0.032800798,0.070709461,-0.016363379,0.062147227,0.102104503,0.122127913,0.093696661,0.079972982,-0.021795342,-0.13521147,-0.047556864,-0.019843639,-0.027938476,-0.109206617,-0.002047122,0.02776254,-0.067343147,-0.10163906,-0.164925862,-0.066210111,-0.009559994,-0.016617324,-0.075672793,-0.034169872,-0.041785044,-0.038296193,-0.048124439,0.010380929,-0.037034478,-0.054876106,0.050426422,0.020765485,-0.034542349,-0.030929599,-0.181289241,-0.004062884,-0.213769,-0.260873149,-0.263066116,-0.194115835,0.001842968,0.232138689,0.047041715,0.050067869,0.018842473,0.163537128,0.054520667,-0.034759596,0.100143946,0.172348521,0.148562484,0.128357338
262,5,R05,R,0,5_25,-0.000628032,0.11232044,-0.012175157,-0.111830905,0.032934559,0.049284192,0.25037017,0.152385752,0.108029755,-0.009930158,-0.018340531,-0.06775015,-0.020223427,-0.285881942,0.005451839,-0.254292913,0.058177489,0.041718032,0.1332186,0.069046512,0.175155475,0.122896722,0.022434013,0.044491445,-0.02874126,0.035351821,0.131476218,0.125932613,0.015618758,0.297768886,0.005878433,0.086862098,0.057549457,0.154038472,0.121043443,-0.042784392,0.208090034,0.172180914,0.272804184,0.196877197,0.079288494,0.025421663,0.113135687,0.058182463,-0.004510698,0.011886944,0.011344735,-0.167430814,-0.058805521,0.070602408,-0.145393757,-0.180877417,-0.142220915,-0.073612529,0.227936157,0.107894307,0.136771015,-0.045281979,-0.149816749,-0.193682763,-0.03584981,-0.583650829,-0.000494763,-0.341155011
278,5,N09,N,0,5_19,-0.054941861,-0.038715668,0.108969461,0.046702152,0.13448565,-0.082900304,0.12684062,0.200574502,0.108232868,0.158448369,7.04E-05,0.070990516,-0.02017682,-0.006244315,0.005398566,-0.004633941,-0.030781919,-0.039341929,0.138656576,0.052358682,0.18216569,-0.011197997,0.128184791,0.182164496,0.115011142,-0.034880417,0.011950537,-0.226497515,0.015677015,-0.014909481,0.005880474,-0.021273841,-0.08572378,-0.078057598,0.247626037,0.099060833,0.31665134,-0.094098301,0.255025411,0.382738998,0.22324401,0.123567952,0.011935393,-0.155506999,-0.004579004,-0.021244484,0.011342901,-0.026047496,-0.024159941,0.000626261,-0.029687115,-0.00565653,-0.04768004,-0.071702307,-0.001344171,0.018410005,-0.006778274,0.193328785,-0.011849832,0.29748803,-0.035880809,0.008676584,-0.000509949,0.016695969
288,5,N08,N,0,5_18,0.034406265,0.132281538,0.045529089,-0.001170684,0.01132696,-0.03425161,0.098611688,0.052620136,0.147413776,0.109765896,6.29E-05,0.010425435,-0.070724221,0.00670244,-0.058625119,0.25885179,-0.025361198,0.064100363,-0.037917677,-0.178516049,0.054234339,-0.027515786,0.050102769,0.051109354,0.011819882,0.066441486,0.011932957,-0.079458233,0.199239797,0.121545769,0.237378218,0.209553741,0.009045067,0.196381901,0.007611412,-0.179686733,0.065561299,-0.061767396,0.148714457,0.103729491,0.159233658,0.176207382,0.01196685,-0.069032798,0.128515576,0.12824821,0.178753099,0.468405531,0.059767462,0.068181175,0.083446767,0.177345365,-0.042907379,-0.006735824,0.048508919,0.001510782,0.135593895,0.04332441,-0.011865434,0.089883668,-0.269964018,-0.114843329,-0.296003337,0.049298049
304,5,N05,N,0,5_15,0.09460748,0.190732922,0.021408216,0.10661418,-0.052009089,0.104836011,0.065309575,0.142978802,0.003183822,0.023522095,-0.083705177,0.113591675,0.025303098,0.104924306,0.024644469,-0.20497948,-0.006620412,0.000977094,0.094915153,0.015693495,0.134969529,-0.161402122,0.032267767,-0.10738749,0.027203834,-0.05389524,0.200202601,-0.035932171,0.001225156,-0.136358883,-0.08079489,-0.130624768,0.087987068,0.191710016,0.116323369,0.122307675,0.08296044,-0.056566111,0.097577342,0.035591313,0.030387656,-0.030373145,0.116497424,0.077659504,0.026528254,-0.031434577,-0.056150421,-0.335604248,0.101227892,0.189755828,-0.073506937,0.090920684,-0.186978618,0.266238133,0.033041808,0.250366292,-0.024020012,0.077417335,-0.283907778,0.149523846,0.024077942,0.241283189,0.105439358,-0.074354712
320,5,N06,N,0,5_16,-0.15676698,-0.275372587,-0.246984486,-0.326603937,-0.153116944,-0.141336354,-0.073947126,-0.059350549,-0.052933384,0.063107972,-0.052787414,-0.160333423,-0.020201106,-0.006198358,0.005449543,-0.004761507,0.142937668,0.068591934,0.110936722,0.113860892,0.068688606,0.006447144,0.151040437,0.060374448,0.224291512,0.022390736,0.11083967,0.030351932,0.015658893,-0.014913389,0.005929055,-0.021329037,-0.013829312,-0.206780653,-0.136047764,-0.212743045,-0.084428338,-0.13488921,0.077093311,0.001023899,0.171358127,0.085498708,0.058052256,-0.129981491,-0.004555841,-0.021152698,0.011351792,-0.026095798,-0.299704648,-0.343964522,-0.357921209,-0.44046483,-0.22180555,-0.147783498,-0.224987563,-0.119724996,-0.277224896,0.040717236,-0.163627084,-0.190685354,-0.035866531,0.008682552,-0.000501431,0.016732255
336,5,N02,N,0,5_12,0.01422538,-0.006289427,-0.032874652,0.046339823,-0.013023211,-0.042312263,0.176625225,0.030277374,0.259318215,0.214860295,0.059858302,0.008014004,0.076015055,0.137115015,0.140597617,0.092269684,-0.018839331,-0.021765051,0.036986921,-0.022168002,0.113388189,0.144417025,0.076023804,-0.019761965,-0.025435502,-0.076471355,-0.105715196,-0.113387721,-0.048277644,-0.169914925,-0.129447273,-0.060327716,-0.004613951,-0.028054478,0.004112269,0.024171821,0.100364977,0.102104762,0.252649029,0.010438708,0.233882713,0.13838894,-0.045856894,-0.105373718,0.027729488,-0.03279991,0.011150344,0.031941967,0.033064712,0.015475625,-0.069861572,0.068507826,-0.1264114,-0.186729287,0.100601421,0.050057686,0.284753717,0.291331651,0.165573498,0.121401725,0.124294428,0.30702994,0.270044889,0.1525974
352,5,R10,R,0,5_30,0.190374414,0.269047588,0.347829924,0.477898481,0.364643169,0.380782084,0.279662964,0.279609131,0.3459239,0.403307719,0.362455126,0.38293053,-0.020186805,-0.006202242,0.005433864,-0.004437378,0.001672895,0.023099635,0.027710836,-0.029361993,0.142511669,0.281800323,0.061945814,0.163630331,0.003455344,0.058638754,-0.079959983,-0.022299478,0.015649692,-0.014892806,0.005835415,-0.021346542,0.19204731,0.292147223,0.375540759,0.448536488,0.507154838,0.662582407,0.341608778,0.443239462,0.349379243,0.461946473,0.282495143,0.360631052,-0.004482871,-0.021037884,0.011333207,-0.026131302,0.188701519,0.245947954,0.320119088,0.507260474,0.2221315,0.098981761,0.21771715,0.115978799,0.342468556,0.344668965,0.44241511,0.405230007,-0.035841906,0.008682564,-0.000487032,0.0166992
368,6,N03,N,0,6_13,-0.000896593,0.117009838,0.024298096,0.035079337,-0.003388995,0.026370598,-0.05312477,0.030225986,-0.029519208,0.035424499,-0.00348808,0.011823969,0.125342449,0.066789847,0.005452798,0.040169707,0.007445339,-0.025163447,0.036404543,-0.023196859,0.015099272,-0.042378182,0.051004242,-0.019835401,0.001268206,-0.019765671,-0.035554899,-0.014726548,0.009433651,-0.023828806,0.005942818,0.068697762,0.006571513,0.091846391,0.060702639,0.011882478,0.011528686,-0.016007584,-0.002120528,0.010390967,-0.028251002,0.015433382,-0.039042979,-0.00282782,0.1347761,0.042961041,0.011359502,0.108867469,-0.008300923,0.142173285,-0.012106448,0.058276196,-0.018395575,0.06874878,-0.104129013,0.050004171,-0.030787413,0.05512125,0.03206682,0.026658794,0.115908798,0.090618653,-0.000457101,-0.028528055
384,6,N10,N,0,6_20,-0.000882961,-0.076139181,-0.291800075,-0.353713192,-0.003851158,-0.371623971,-0.290510372,0.029990574,-0.223292912,0.035252741,-0.258991097,0.012030455,-0.129164114,-0.25735125,0.005353961,-0.080176977,0.007417096,-0.176142485,0.134061236,-0.205262437,0.015300447,-0.322435392,0.040778767,-0.019776453,0.045843087,-0.019792929,0.087198851,-0.015030263,-0.150044733,-0.458293083,0.005887233,-0.355982724,0.006575908,-0.252281666,-0.157738839,-0.558975629,0.010853348,-0.694059363,-0.249731604,0.010353586,-0.177449825,0.015542864,-0.171792246,-0.002905763,-0.279208847,-0.715644333,0.011332556,-0.436159701,-0.008302012,0.100003303,-0.425861312,-0.148450755,-0.018579041,-0.049188579,-0.331289139,0.04997302,-0.269135999,0.055158289,-0.346189948,0.026954682,0.020880619,0.200941832,-0.000471267,0.275805747
400,6,N01,N,0,6_11,-0.00091447,-0.023872312,-0.047028505,-0.090206788,-0.003497516,-0.09831454,-0.115040079,0.030111662,-0.068136797,0.03533112,-0.031978041,0.011895407,0.014754743,-0.018376135,0.005419816,0.000628994,0.007450925,-0.016389667,0.057116849,-0.036646285,0.01536049,0.000249281,0.156936795,-0.019781066,0.048799823,-0.019807071,0.041535081,-0.014787344,0.072415355,-0.034023727,0.005918778,-0.043440202,0.006570176,-0.040261978,0.010088344,-0.126853073,0.011518085,-0.098065258,0.041896716,0.010397226,-0.019336974,0.015481724,0.00955704,-0.002815355,0.087170099,-0.052399861,0.011350685,-0.042811208,-0.008309972,-0.007482645,-0.104145354,-0.053560503,-0.018670219,-0.098563821,-0.271976873,0.049967435,-0.11693662,0.055161646,-0.073513122,0.026729529,-0.057660612,0.015647592,-0.000492702,0.044069197
416,6,N09,N,0,6_19,-0.000877258,-0.012223007,0.072194447,0.023262858,-0.003140294,0.11728771,0.03314483,0.030284453,-0.03711202,0.03532282,-3.40E-05,0.011952331,0.145355697,0.120107498,0.005451917,0.162165,0.007414023,-0.039898263,-0.071884526,-0.02414706,0.014402603,-0.16047183,-0.251058829,-0.019826276,-0.093357661,-0.019752654,0.011916211,-0.014954262,-0.10359959,0.001352205,0.005888897,-0.023687591,0.006584719,-0.05212127,0.000309921,-0.000884202,0.011510918,-0.04318412,-0.217913999,0.010391928,-0.130469681,0.015450751,0.011907846,-0.002780629,0.041756107,0.121459703,0.011345855,0.138477408,-0.008283352,0.027675256,0.144078973,0.047409919,-0.017762872,0.277759541,0.284203659,0.050114136,0.056245641,0.055101543,-0.01189866,0.026776434,0.248955287,0.118755294,-0.000476921,0.185852591
432,6,N05,N,0,6_15,-0.000791578,-0.129096517,-0.046852086,-0.063113666,-0.003337784,-0.054320261,-0.023294142,0.030162363,0.035426215,0.035339929,0.061609873,0.012037345,0.250705257,0.092156622,0.00545668,-0.004627631,0.007417013,-0.005153912,0.008469326,-0.046555951,0.015152518,-0.088135333,0.0256434,-0.019804235,0.048400539,-0.019792666,0.032355822,-0.014723046,-0.394179956,-0.251553218,0.005897519,-0.021327792,0.00658776,-0.13425043,-0.03838276,-0.109669618,0.011482569,-0.142455595,0.002349258,0.010390415,0.083826754,0.015537641,0.093965696,-0.002814316,-0.143474699,-0.159396596,0.011340919,-0.026139302,-0.008298494,-0.123942605,-0.055321411,-0.016557715,-0.018333205,0.033815072,-0.048937542,0.050005476,-0.012974325,0.055165294,0.029254051,0.026758124,0.644885213,0.34370984,-0.000447304,0.016801059
443,6,N07,N,0,6_17,-0.000757491,0.293984329,0.26893431,0.706746488,-0.003051686,0.663234965,0.39053597,0.03063777,0.330005402,0.035560237,0.148199379,0.011757777,0.097912857,0.435099081,0.005523973,0.195935103,0.007431159,0.046534374,0.005847224,0.15983026,0.014529004,0.111702716,-0.171295701,-0.019903923,-0.120297295,-0.019816791,-0.088972127,-0.014315323,0.147857861,0.179914142,0.005942843,0.096060888,0.00660103,0.340518703,0.274781534,0.866576749,0.012407821,0.774937682,0.219240269,0.010437981,0.209708107,0.015491873,0.059227251,-0.002801122,0.245770719,0.615013223,0.011374027,0.291995991,-0.008290711,0.247449956,0.263087086,0.546916228,-0.018008552,0.551532249,0.561831672,0.050192913,0.450302698,0.055173575,0.237171506,0.026302657,-0.049945004,0.255184938,-0.000407427,0.099874215
459,6,N08,N,0,6_18,-0.000870742,0.124685714,0.337045725,0.10274235,-0.003246858,-0.029025219,0.116934582,0.030331619,0.105670393,0.035507831,0.143828452,0.011819741,0.141921722,-0.069800868,0.005439134,0.010945238,0.00739587,-0.109495472,-0.18512596,-0.121608675,0.014663493,-0.090387712,-0.059337914,-0.019828539,-0.000458867,-0.019756111,-0.052306208,-0.014871991,0.042719252,-0.236080017,0.005904981,-0.05770944,0.006599978,0.015190242,0.151919765,-0.018866325,0.011783039,-0.119412931,0.057596668,0.010390951,0.105211526,0.015485288,0.091522244,-0.002873043,0.184640974,-0.305880886,0.01134704,-0.046764202,-0.008258108,0.234181187,0.522171685,0.224351025,-0.017981447,0.061362493,0.176272496,0.050042081,0.10612926,0.055134193,0.19613466,0.026793413,0.099202469,0.166279149,-0.000472098,0.068654677
